Lane,PF_Ratio/%,Yield/G,Q30/%,Mean_BQ,OneMisRatio/%,VolumeRatio/%
L001,79.10,73.64,91.65,35.23,2.56,6.55
L002,80.48,74.32,91.73,35.26,1.93,24.55
Sum,79.79,147.96,91.69,35.24,2.25,15.60
