Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
3,HUMRNIULRPEI-540-v109,PE,100,3.43,3.4278e+09,34315716,3.72,3.56,100.00,0.00,48.48,96.88,89.00,48.38,48.58,97.37,96.39,90.17,87.83
3,HUMRNIULTPEI-542-v109,PE,100,2.89,2.8847e+09,28878696,3.13,1.75,100.00,0.00,50.89,97.03,89.60,50.84,50.95,97.39,96.67,90.36,88.84
3,HUMRNIUKHPEI-504-v109,PE,100,4.19,4.1848e+09,41893302,4.55,1.71,100.00,0.00,53.30,97.41,90.85,53.29,53.31,97.80,97.01,91.72,89.97
3,HUMRNIUKXPEI-520-v109,PE,100,3.22,3.2144e+09,32179108,3.49,1.91,100.00,0.00,50.90,96.77,88.84,50.80,51.01,97.35,96.18,90.17,87.51
3,HUMRNIULOPEI-537-v109,PE,100,1.96,1.9556e+09,19577926,2.13,1.45,100.00,0.00,48.21,97.20,89.95,48.10,48.31,97.29,97.11,89.99,89.91
3,Total,PE,100,92.13,NA,921264780,100.00,NA,100.00,0.00,49.79,97.08,89.66,49.71,49.87,97.46,96.71,90.49,88.83
4,Undetermined,PE,100,4.97,NA,49700816,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HUMRNIULDPEI-526-v109,PE,100,3.57,3.5698e+09,35723770,3.59,2.25,100.00,0.00,50.47,97.63,91.04,50.41,50.53,98.08,97.17,92.14,89.94
4,HUMRNIUKJPEI-506-v109,PE,100,3.53,3.5226e+09,35251554,3.54,2.56,100.00,0.00,51.20,97.14,89.69,51.10,51.29,97.85,96.44,91.39,87.98
4,HUMRNIULPPEI-538-v109,PE,100,3.79,3.7831e+09,37857722,3.80,1.35,100.00,0.00,49.27,97.30,89.90,49.21,49.33,97.69,96.90,90.81,88.99
4,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.5751e+07,257694,0.03,2.07,100.00,0.00,50.89,97.75,91.46,50.90,50.87,98.08,97.42,92.20,90.71
4,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.2090e+08,2210582,0.22,1.57,100.00,0.00,47.69,97.32,90.01,47.68,47.70,97.70,96.94,90.84,89.17
4,HUMRNIULIPEI-531-v109,PE,100,0.49,4.9349e+08,4938406,0.50,1.92,100.00,0.00,51.82,97.25,90.05,51.82,51.82,97.91,96.59,91.65,88.46
4,HUMRNIUKXPEI-520-v109,PE,100,3.48,3.4785e+09,34809950,3.49,1.74,100.00,0.00,50.94,97.03,89.36,50.84,51.05,97.75,96.31,91.06,87.65
4,HUMRNIULKPEI-533-v109,PE,100,0.54,5.3580e+08,5361818,0.54,2.35,100.00,0.00,50.83,97.33,90.15,50.71,50.94,97.83,96.82,91.32,88.98
4,HUMRNIULSPEI-541-v109,PE,100,4.21,4.2063e+09,42093552,4.23,2.08,100.00,0.00,49.39,97.09,89.34,49.29,49.49,97.67,96.51,90.73,87.95
4,HUMRNIULHPEI-530-v109,PE,100,4.04,4.0335e+09,40364392,4.05,2.68,100.00,0.00,49.46,97.21,89.77,49.34,49.58,97.81,96.61,91.21,88.33
4,HUMRNIUKUPEI-517-v109,PE,100,0.48,4.7676e+08,4770972,0.48,3.40,100.00,0.00,51.24,97.25,89.94,51.13,51.34,97.85,96.65,91.40,88.47
4,HUMRNIULCPEI-525-v109,PE,100,2.17,2.1699e+09,21715544,2.18,2.27,100.00,0.00,48.43,97.24,89.89,48.37,48.50,97.90,96.58,91.48,88.30
4,HUMRNIULMPEI-535-v109,PE,100,3.88,3.8728e+09,38757200,3.89,1.61,100.00,0.00,49.11,97.26,89.99,48.95,49.27,97.84,96.68,91.35,88.63
4,HUMRNIULQPEI-539-v109,PE,100,3.94,3.9379e+09,39407718,3.96,2.17,100.00,0.00,48.50,97.17,89.65,48.45,48.55,97.79,96.55,91.16,88.14
4,HUMRNIUKWPEI-519-v109,PE,100,0.38,3.7703e+08,3773040,0.38,3.61,100.00,0.00,49.51,97.18,89.67,49.45,49.58,97.77,96.58,91.10,88.24
4,HUMRNIULGPEI-529-v109,PE,100,0.40,4.0079e+08,4010800,0.40,3.28,100.00,0.00,49.55,97.04,89.26,49.43,49.67,97.72,96.36,90.93,87.60
4,HUMRNIULFPEI-528-v109,PE,100,3.97,3.9711e+09,39740508,3.99,4.95,100.00,0.00,48.58,97.40,90.21,48.43,48.73,97.88,96.93,91.41,89.01
4,HUMRNIUKSPEI-515-v109,PE,100,0.20,1.9589e+08,1960344,0.20,2.13,100.00,0.00,48.15,97.57,90.87,48.22,48.08,97.96,97.19,91.71,90.03
4,HUMRNIUKMPEI-509-v109,PE,100,0.33,3.3311e+08,3333524,0.33,5.49,100.00,0.00,48.90,97.39,90.20,48.90,48.91,97.92,96.86,91.51,88.90
4,HUMRNIULBPEI-524-v109,PE,100,2.28,2.2750e+09,22766572,2.29,2.61,100.00,0.00,51.21,97.18,89.78,51.16,51.26,97.82,96.54,91.30,88.26
4,HUMRNIUKKPEI-507-v109,PE,100,0.42,4.2257e+08,4228874,0.42,2.99,100.00,0.00,49.40,97.57,90.81,49.41,49.40,98.04,97.10,91.96,89.66
4,HUMRNIUKYPEI-521-v109,PE,100,0.43,4.3123e+08,4315466,0.43,2.21,100.00,0.00,49.33,97.21,89.79,49.29,49.38,97.69,96.74,90.90,88.67
4,HUMRNIULEPEI-527-v109,PE,100,0.68,6.8437e+08,6848614,0.69,3.67,100.00,0.00,50.33,97.15,89.61,50.25,50.41,97.85,96.46,91.33,87.89
4,HUMRNIUKRPEI-514-v109,PE,100,2.62,2.6136e+09,26153688,2.63,2.02,100.00,0.00,48.67,97.01,89.05,48.69,48.65,97.40,96.63,89.96,88.14
4,HUMRNIUKLPEI-508-v109,PE,100,3.09,3.0893e+09,30916322,3.10,1.72,100.00,0.00,55.53,97.94,92.33,55.55,55.50,98.33,97.55,93.24,91.43
4,HUMRNIULNPEI-536-v109,PE,100,4.16,4.1561e+09,41591884,4.18,3.41,100.00,0.00,47.93,97.27,89.82,47.81,48.05,97.86,96.69,91.30,88.34
4,HUMRNIUKZPEI-522-v109,PE,100,3.47,3.4716e+09,34741432,3.49,2.81,100.00,0.00,49.99,97.21,89.80,49.88,50.10,97.78,96.65,91.16,88.44
4,HUMRNIUKPPEI-512-v109,PE,100,2.45,2.4501e+09,24519006,2.46,6.25,100.00,0.00,49.67,97.34,90.13,49.56,49.78,97.77,96.92,91.09,89.16
4,HUMRNIULAPEI-523-v109,PE,100,0.47,4.6713e+08,4674656,0.47,2.04,100.00,0.00,50.31,96.76,88.64,50.21,50.41,97.65,95.87,90.72,86.57
4,HUMRNIUKNPEI-510-v109,PE,100,3.04,3.0392e+09,30413840,3.05,3.25,100.00,0.00,50.54,96.91,88.97,50.46,50.62,97.70,96.12,90.88,87.06
4,HUMRNIULRPEI-540-v109,PE,100,3.73,3.7231e+09,37258802,3.74,3.53,100.00,0.00,48.50,97.13,89.46,48.39,48.60,97.78,96.47,91.08,87.84
4,HUMRNIUKTPEI-516-v109,PE,100,3.10,3.1025e+09,31047912,3.12,2.06,100.00,0.00,50.66,97.21,89.97,50.59,50.72,97.84,96.59,91.44,88.50
4,HUMRNIUKVPEI-518-v109,PE,100,3.40,3.3971e+09,33996156,3.41,3.15,100.00,0.00,49.08,97.84,91.65,49.01,49.15,98.06,97.62,92.10,91.19
4,HUMRNIULJPEI-532-v109,PE,100,3.45,3.4507e+09,34531792,3.47,1.80,100.00,0.00,49.81,97.45,90.48,49.73,49.89,97.82,97.08,91.32,89.64
4,HUMRNIUKOPEI-511-v109,PE,100,0.00,2.8205e+06,28226,0.00,3.18,100.00,0.00,49.78,97.29,90.08,49.83,49.74,97.81,96.77,91.23,88.94
4,HUMRNIULLPEI-534-v109,PE,100,4.22,4.2135e+09,42167724,4.23,11.87,100.00,0.00,48.26,97.97,91.84,48.21,48.31,98.15,97.79,92.33,91.35
4,HUMRNIULUPEI-543-v109,PE,100,4.20,4.1958e+09,41989504,4.22,2.44,100.00,0.00,47.87,97.36,90.13,47.74,48.01,97.79,96.94,91.09,89.16
4,HUMRNIULTPEI-542-v109,PE,100,3.13,3.1285e+09,31306782,3.14,1.67,100.00,0.00,50.90,97.28,90.09,50.84,50.96,97.80,96.76,91.30,88.89
4,HUMRNIUKHPEI-504-v109,PE,100,4.50,4.4963e+09,44994860,4.52,1.56,100.00,0.00,53.34,97.66,91.34,53.33,53.36,98.17,97.14,92.57,90.11
4,HUMRNIULOPEI-537-v109,PE,100,2.17,2.1641e+09,21656582,2.17,1.33,100.00,0.00,48.18,97.50,90.57,48.07,48.28,97.71,97.29,90.96,90.19
4,Total,PE,100,99.62,NA,996188600,100.00,NA,100.00,0.00,49.81,97.34,90.17,49.73,49.89,97.86,96.82,91.40,88.93
