Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
1,Undetermined,PE,100,4.93,NA,49304580,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,LIB-20191218001-1,PE,100,3.5,3.49E+09,34979390,3.58,2.6,100,0,50.43,97.44,90.65,50.37,50.48,97.85,97.02,91.62,89.68
1,LIB-20191218001-2,PE,100,3.45,3.44E+09,34466076,3.53,2.79,100,0,51.14,96.95,89.29,51.05,51.23,97.61,96.29,90.86,87.73
1,LIB-20191218002-3,PE,100,3.71,3.71E+09,37111584,3.8,1.65,100,0,49.21,97.11,89.55,49.15,49.26,97.47,96.76,90.34,88.75
1,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.55E+07,255356,0.03,2.42,100,0,50.86,97.55,91.04,50.88,50.85,97.84,97.26,91.68,90.4
1,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.19E+08,2191178,0.22,1.82,100,0,47.64,97.14,89.65,47.64,47.65,97.47,96.82,90.34,88.96
1,HUMRNIULIPEI-531-v109,PE,100,0.48,4.83E+08,4832728,0.49,2.15,100,0,51.78,97.03,89.58,51.78,51.77,97.67,96.39,91.09,88.07
1,HUMRNIULKPEI-533-v109,PE,100,0.53,5.28E+08,5290028,0.54,2.81,100,0,50.78,97.16,89.83,50.67,50.89,97.61,96.72,90.84,88.82
1,HUMRNIULHPEI-530-v109,PE,100,3.97,3.97E+09,39713540,4.07,3.2,100,0,49.41,97.03,89.41,49.3,49.53,97.58,96.49,90.7,88.13
1,HUMRNIUKUPEI-517-v109,PE,100,0.47,4.68E+08,4688378,0.48,3.65,100,0,51.19,97.06,89.55,51.09,51.28,97.62,96.51,90.87,88.23
1,HUMRNIULCPEI-525-v109,PE,100,2.15,2.15E+09,21473170,2.2,2.64,100,0,48.38,97.06,89.54,48.33,48.44,97.67,96.46,90.97,88.11
1,HUMRNIULMPEI-535-v109,PE,100,3.81,3.81E+09,38096646,3.9,1.88,100,0,49.06,97.07,89.6,48.91,49.21,97.6,96.54,90.8,88.4
1,HUMRNIULQPEI-539-v109,PE,100,3.86,3.86E+09,38595558,3.95,2.44,100,0,48.46,96.96,89.23,48.41,48.5,97.55,96.38,90.63,87.82
1,HUMRNIULFPEI-528-v109,PE,100,3.9,3.90E+09,39028244,4,5.93,100,0,48.54,97.22,89.84,48.4,48.68,97.66,96.79,90.92,88.77
1,HUMRNIUKSPEI-515-v109,PE,100,0.19,1.91E+08,1913204,0.2,2.43,100,0,48.08,97.38,90.46,48.16,48,97.72,97.05,91.18,89.75
1,HUMRNIUKMPEI-509-v109,PE,100,0.33,3.31E+08,3312448,0.34,5.73,100,0,48.86,97.21,89.84,48.85,48.86,97.68,96.74,90.98,88.7
1,HUMRNIULBPEI-524-v109,PE,100,2.22,2.21E+09,22165170,2.27,3.03,100,0,51.15,96.99,89.39,51.11,51.19,97.58,96.4,90.76,88.03
1,HUMRNIUKYPEI-521-v109,PE,100,0.42,4.19E+08,4196754,0.43,2.44,100,0,49.3,97,89.35,49.25,49.34,97.45,96.56,90.35,88.34
1,HUMRNIULEPEI-527-v109,PE,100,0.68,6.82E+08,6823104,0.7,4.17,100,0,50.28,96.98,89.27,50.21,50.35,97.62,96.33,90.83,87.72
1,HUMRNIUKVPEI-518-v109,PE,100,3.31,3.30E+09,33078170,3.39,3.66,100,0,49.04,97.66,91.24,48.98,49.11,97.82,97.49,91.55,90.93
1,HUMRNIULOPEI-537-v109,PE,100,2.03,2.03E+09,20278616,2.08,1.54,100,0,48.15,97.28,90.09,48.05,48.24,97.45,97.11,90.36,89.82
1,HUMRNIUKRPEI-514-v109,PE,100,2.55,2.54E+09,25468640,2.61,2.43,100,0,48.62,96.83,88.68,48.66,48.59,97.17,96.48,89.46,87.89
1,HUMRNIULRPEI-540-v109,PE,100,3.62,3.62E+09,36192314,3.71,3.84,100,0,48.45,96.94,89.08,48.36,48.55,97.54,96.33,90.55,87.61
1,HUMRNIUKLPEI-508-v109,PE,100,3.04,3.04E+09,30393916,3.11,2.02,100,0,55.48,97.74,91.88,55.5,55.46,98.1,97.37,92.69,91.08
